"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000213626",2.78660763566117,2.89472725334945,31.6929110713278,1.80580140536959e-08,0.000143435020361588
"ENSG00000185950",-2.04315433586259,6.20620569633996,31.3496968622006,2.15492340925666e-08,0.000143435020361588
"ENSG00000142347",1.79514488704102,3.59620331481048,30.906733464964,2.70730830704687e-08,0.000143435020361588
"ENSG00000187474",2.3442603017203,2.11080717393351,30.0359153249353,4.24117845523986e-08,0.000143435020361588
"ENSG00000113532",2.74389484591074,1.83768876514053,29.9876733420887,4.34801557331518e-08,0.000143435020361588
"ENSG00000120158",-2.76010477640076,5.8688560713548,29.6028826421002,5.30260214573905e-08,0.000143435020361588
"ENSG00000153071",2.13397333730758,4.57428430694734,29.473700729824,5.66806345730007e-08,0.000143435020361588
"ENSG00000167895",2.8694144003693,2.44399194622004,29.3745537034092,5.96558441847001e-08,0.000143435020361588
"ENSG00000082074",2.22434364446731,3.43857347035488,28.6009057927455,8.89405690497583e-08,0.000190085760630233
"ENSG00000168918",2.15373357532248,2.8729712832717,27.6220504646567,1.47487815649919e-07,0.00028369281340262
"ENSG00000105374",2.46022541559749,1.77465762743987,27.1778584701356,1.85571789181851e-07,0.000324497578628446
"ENSG00000009790",3.42653909793002,0.169431894531985,26.7074467575698,2.36707505181542e-07,0.000348095671470716
"ENSG00000115085",3.1688358641229,0.816523461763783,26.6325589947673,2.46061976130025e-07,0.000348095671470716
"ENSG00000145649",3.31080981247725,0.532721509104315,26.5207926128081,2.60716783249145e-07,0.000348095671470716
"ENSG00000095951",-2.16883171011147,4.95079875108626,26.4428250329699,2.71454903668351e-07,0.000348095671470716
"ENSG00000151474",1.681058970371,3.58425756575125,26.1412140784734,3.17337737713003e-07,0.00036390089477795
"ENSG00000115935",1.74993532169689,3.83303906642581,26.1153462850755,3.21617635103985e-07,0.00036390089477795
"ENSG00000175463",3.07857343852558,0.615673902698006,25.835110623006,3.71862157962675e-07,0.000385415601345381
"ENSG00000012660",-2.38791525153487,7.87070107046064,25.7828880652733,3.82060814613636e-07,0.000385415601345381
"ENSG00000168071",2.07141065900054,2.30898093809355,25.6907462051144,4.00744061705621e-07,0.000385415601345381
"ENSG00000198744",7.11938490931834,4.00711292653893,25.5598777749453,4.28864912580548e-07,0.000385948971221241
"ENSG00000163947",2.12055610621903,2.04433629839792,25.5041669588533,4.41428508805162e-07,0.000385948971221241
"ENSG00000198851",3.26974465605262,0.953226517158518,25.1733131590142,5.24023301541468e-07,0.000438036447506699
"ENSG00000102879",1.99423282360036,3.32460747881121,25.0264534001319,5.65491238346557e-07,0.000438036447506699
"ENSG00000173212",-4.29404834559243,2.03303500348138,25.013435403988,5.69322130889913e-07,0.000438036447506699
"ENSG00000182866",3.25690849198053,0.701962904859664,24.807861233139,6.33386268294631e-07,0.000457573054993675
