"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000107249",3.23918834273004,3.73479262061315,68.2895840983367,1.41164667444161e-16,2.71530237828845e-12
"ENSG00000077150",3.27907479070627,5.6371874150795,66.6050843281923,3.31729401285655e-16,3.19040751686479e-12
"ENSG00000176170",5.82829027490748,3.5868295967147,60.6631195419452,6.77271879552286e-15,4.34244153439608e-11
"ENSG00000104856",3.95699203597957,4.17416362480754,56.645146547792,5.21995320974659e-14,2.51014499973689e-10
"ENSG00000171659",-4.30875507777294,1.09425276722323,54.3626126396439,1.66704577274126e-13,6.41312508773565e-10
"ENSG00000166920",5.71486799588607,1.15308331968488,52.0816265963766,5.3240772261961e-13,1.70681042409803e-09
"ENSG00000123685",5.40550087648308,1.34671206143714,46.9078624636083,7.44036192937845e-12,2.04450516730849e-08
"ENSG00000163874",5.43564619709371,5.90579098483748,45.937468542759,1.22088400339298e-11,2.93546297565799e-08
"ENSG00000175592",6.33304065550164,3.94878583356648,45.4712187576556,1.54898326953535e-11,3.31052146550138e-08
"ENSG00000187474",-3.13985881163484,2.11080717393351,45.1592202845919,1.81648460263133e-11,3.49400813316135e-08
"ENSG00000145919",1.88636257686638,4.50828611230786,43.5254744652501,4.18476129113026e-11,7.31762576680823e-08
"ENSG00000126561",3.42072709556673,4.57687971995784,43.0792582461243,5.25665965439145e-11,8.1664244807061e-08
"ENSG00000122861",5.81650907423175,3.59904057019438,42.9838756413732,5.51928870544213e-11,8.1664244807061e-08
"ENSG00000172183",3.53152308180473,3.52765599788187,42.5151849468713,7.01356038493512e-11,9.63613100030193e-08
"ENSG00000181035",-2.39721237762849,5.44657915768112,41.8515370088439,9.84733340787759e-11,1.26275638733684e-07
"ENSG00000023445",6.59569004387391,8.30245605639074,41.693136199565,1.06783210540082e-10,1.28373440921154e-07
"ENSG00000170961",7.96462730746329,1.27648876334399,41.2946977195081,1.3092354770514e-10,1.48136143535786e-07
"ENSG00000110042",3.29390483636839,6.53830819936666,41.0042130119111,1.51901422265685e-10,1.62026780967158e-07
"ENSG00000010818",3.79970851125569,5.40238648152755,40.8621561895052,1.63353972571747e-10,1.62026780967158e-07
"ENSG00000166927",-2.7690396567921,4.56333186674302,40.801881753002,1.68470788632345e-10,1.62026780967158e-07
"ENSG00000049249",6.97387524377089,2.18294082351939,40.6058431192377,1.86248882659399e-10,1.70595107521597e-07
"ENSG00000176915",2.08193574150769,5.39675381266713,40.4299472758425,2.03793349467586e-10,1.72651587459309e-07
"ENSG00000169429",9.11129727929005,8.18824903157911,40.4046811088905,2.06445880507622e-10,1.72651587459309e-07
"ENSG00000090339",5.51751964137551,8.42189392363195,40.1612069408159,2.3384610694982e-10,1.87417911132491e-07
"ENSG00000115009",9.51286662555702,6.90453944411399,39.8765916459639,2.70525957630748e-10,2.08142671801098e-07
"ENSG00000139083",2.36537311608329,4.40948467681156,39.3445732931871,3.55238770560559e-10,2.5996000942551e-07
"ENSG00000106366",6.94688506314153,9.07352592718885,39.2921598787259,3.64903574447037e-10,2.5996000942551e-07
"ENSG00000179674",8.11168500174906,1.10597613729923,39.0926421658464,4.04164311601512e-10,2.62537639080729e-07
"ENSG00000165259",3.09336753609104,1.78397195791712,39.0748147318266,4.07871789966819e-10,2.62537639080729e-07
"ENSG00000011422",4.3190684259989,3.88718726110304,39.039008804249,4.15421347901745e-10,2.62537639080729e-07
"ENSG00000112096",4.12080373554756,11.4689039713675,39.0031715922203,4.23117588328703e-10,2.62537639080729e-07
"ENSG00000173212",5.73418281680217,2.03303500348138,38.8194119813484,4.64881729436022e-10,2.72675222760284e-07
"ENSG00000108691",7.24612121727381,6.59437757655991,38.807164200926,4.67807764548447e-10,2.72675222760284e-07
"ENSG00000131773",2.19099051555356,4.40096467027758,38.4987689034815,5.47882340300782e-10,3.09956376931928e-07
"ENSG00000261618",8.20567587932725,3.4585831238043,38.3611537770581,5.87911040940588e-10,3.22900367517351e-07
"ENSG00000124201",2.17530613745793,5.55884869565804,38.2578624681798,6.19868147496872e-10,3.22900367517351e-07
"ENSG00000102802",6.77736377139525,2.19345263747619,38.253914073119,6.21123659898206e-10,3.22900367517351e-07
"ENSG00000134531",4.25593508420981,5.56274593042068,38.0891185509869,6.75860012819553e-10,3.42109667015371e-07
"ENSG00000100401",3.01458109670293,6.88544517000899,37.9696495595226,7.18537406725438e-10,3.543863338042e-07
