"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000136826",3.05411981204332,4.71657296433698,55.4940414615514,9.37427352518638e-14,1.8031415125696e-09
"ENSG00000125740",7.23341144360468,6.01251159970161,48.4814109938046,3.33434568365599e-12,3.20680696125615e-08
"ENSG00000175592",5.52182740211821,3.94878583356648,36.7783115461638,1.32354507173369e-09,8.48612981826584e-06
"ENSG00000087074",4.10272276521637,7.12241926985969,35.4872508640045,2.56725410730167e-09,1.23452831884869e-05
"ENSG00000130522",2.76762216346431,7.94883123504252,34.2599666012343,4.82199614226604e-09,1.85502191592975e-05
"ENSG00000185022",4.98477288527113,6.76865599549028,32.5990774413575,1.13268501756867e-08,3.63119938548889e-05
"ENSG00000162772",4.87131465454853,8.00015393350853,30.6405268562885,3.10539076333507e-08,8.53317019039286e-05
"ENSG00000163874",4.04672805535084,5.90579098483748,29.1281800898915,6.77444162676534e-08,0.000150273272323312
"ENSG00000173846",3.0213352856266,3.95885100676303,29.0560981590097,7.03124227143127e-08,0.000150273272323312
"ENSG00000112149",3.3758974697542,4.13046093775281,25.8392911444598,3.71057630281916e-07,0.000713729351847266
"ENSG00000148841",2.36671193035584,5.03265988083878,24.9994740214144,5.73459561673759e-07,0.000989838525819594
"ENSG00000113070",4.43391067910342,3.92678161770694,24.8567530121733,6.17523384966734e-07,0.000989838525819594
"ENSG00000140403",4.46633349524555,5.32076023626311,24.516842708378,7.36630973519737e-07,0.00108993052120401
"ENSG00000151929",4.40701874505261,8.58538473485327,24.2677122927005,8.38326080781131e-07,0.00114636728274243
"ENSG00000173110",7.14613986085697,9.32416960682299,24.1035209534886,9.12932203466459e-07,0.00114636728274243
"ENSG00000163659",3.52784011979837,6.54683322615894,24.0196652441355,9.53567794326951e-07,0.00114636728274243
"ENSG00000169429",6.14033847777654,8.18824903157911,23.7547506592305,1.09424949918967e-06,0.00119988491910732
"ENSG00000162783",2.83852026947442,6.0453292951088,23.7051010842269,1.12284525832762e-06,0.00119988491910732
"ENSG00000267270",3.29044482993323,4.1796225404487,23.3663714023433,1.33899019923348e-06,0.00135555139380294
"ENSG00000128016",2.42634203510801,7.00269398104176,23.2165368190401,1.44747269585329e-06,0.0013921068652369
"ENSG00000158859",4.76504134394,6.8232557441832,22.6293873647726,1.96456568499863e-06,0.00178941452142857
"ENSG00000106366",4.73496945817942,9.07352592718885,22.4660239969089,2.138936433816e-06,0.00178941452142857
"ENSG00000198517",2.47032161712761,5.18890194883728,22.4653662112343,2.13966904043967e-06,0.00178941452142857
"ENSG00000144655",2.89720495231469,6.40440342804232,21.758117357219,3.09278509371263e-06,0.0024787383865651
"ENSG00000152661",2.94511772423385,4.12369814952215,21.5637548164473,3.42259163887903e-06,0.00263334200695353
"ENSG00000163734",6.63983487751528,4.80656323386641,21.2874819178039,3.95304532536508e-06,0.00292449333974605
"ENSG00000148926",2.50109918345218,5.51911788222119,21.1318983143219,4.28731855440349e-06,0.00304228577982659
"ENSG00000108691",4.76458231693962,6.59437757655991,21.0697721188638,4.42859380479046e-06,0.00304228577982659
"ENSG00000075426",2.37960596434722,6.14735802517936,20.8159556580064,5.05599873293632e-06,0.00335352191820793
"ENSG00000183696",1.68601811417695,4.35883343935876,20.5990438560123,5.66243875070252e-06,0.00354134201615497
"ENSG00000120694",3.75499469349339,9.54045484312405,20.5839070517483,5.70738770474677e-06,0.00354134201615497
"ENSG00000198576",7.36469582894617,1.56045979885191,20.2061645092759,6.95285183073129e-06,0.00417931578012863
"ENSG00000099860",2.6614279028925,7.87361283864184,20.0813314782641,7.42176038696747e-06,0.00430067792488588
"ENSG00000109321",6.30504186400015,1.19116991799606,20.0354618462761,7.6019261474458e-06,0.00430067792488588
