"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000196167",3.44851324049543,-0.14432231508947,20.5239723906675,5.88890885142091e-06,0.0732462095475856
"ENSG00000065154",-2.63517967988037,6.11286211592166,20.0319422724809,7.61593028828548e-06,0.0732462095475856
"ENSG00000180525",-2.14279295270341,2.24373336979732,18.8578086317419,1.40833388896071e-05,0.0801063591271703
"ENSG00000223350",6.07111351905813,-2.08294360501555,17.9751874770499,2.23803255896041e-05,0.0801063591271703
"ENSG00000198203",5.82928206847475,1.44622158022484,17.3736939297218,3.07046371320231e-05,0.0801063591271703
"ENSG00000169992",-1.77330663343941,2.9993623121727,17.2194414340564,3.33010963767665e-05,0.0801063591271703
"ENSG00000261241",4.41826699342398,-1.2261238258496,17.2192297349859,3.33048073652714e-05,0.0801063591271703
"ENSG00000115602",-3.87885871841368,5.51558963531625,16.7702466942165,4.21896662179934e-05,0.0801063591271703
"ENSG00000251179",6.76097380853807,-1.35390983755189,16.7673731762191,4.22536061392309e-05,0.0801063591271703
"ENSG00000283341",4.29093692663042,-1.45236428787201,16.5369153411416,4.77120766961428e-05,0.0801063591271703
"ENSG00000214087",1.43468308428986,2.90207593769015,16.4927707534927,4.88359249702912e-05,0.0801063591271703
"ENSG00000167105",3.56376230962244,2.38020683958431,16.4490441515879,4.99753735131814e-05,0.0801063591271703
"ENSG00000172009",-1.15856850769805,5.01593121939259,15.8862855706127,6.72643765857014e-05,0.0990328628685249
"ENSG00000197245",3.6864685095441,-0.104060638968325,15.6959390748779,7.43837003441952e-05,0.0990328628685249
"ENSG00000261481",-3.59288569177263,1.718809099337,15.6203421873194,7.74172514916673e-05,0.0990328628685249
"ENSG00000100427",3.51191034736986,-1.32228282296692,15.5029356609076,8.23772189184507e-05,0.0990328628685249
"ENSG00000236144",2.42457224115311,0.437119808002949,15.1027125998749,0.000101816878932994,0.115202803898596
"ENSG00000106829",-1.94278660808576,3.1928004732549,14.5083581477402,0.000139539057427062,0.14911298720053
"ENSG00000157315",-2.35493799846506,0.542100111852089,14.3282000319815,0.000153547406822187,0.154603755713028
"ENSG00000176998",3.8643969279936,-1.62072403665839,14.1725871928098,0.00016678274190305,0.154603755713028
"ENSG00000213613",5.72502513799314,-2.19558644793764,14.1199681339899,0.000171513397944214,0.154603755713028
"ENSG00000070404",-2.48092691752085,5.253454497315,14.0296770236757,0.000179948054129431,0.154603755713028
"ENSG00000253522",-2.90095924957106,-1.33508227851171,13.9789847102398,0.000184865421440065,0.154603755713028
"ENSG00000234390",2.48845272170701,-0.409607800011966,13.7782770715262,0.000205701000185412,0.164637771482281
"ENSG00000187144",3.86692526946433,-2.17205988100402,13.7041420418126,0.000213982026881052,0.164637771482281
"ENSG00000259771",-3.5612895351671,-2.37758990380321,13.4662550188736,0.000242892637554343,0.176727024475545
"ENSG00000126709",3.85602052998458,6.73366024767197,13.4266844590444,0.000248070166926941,0.176727024475545
"ENSG00000140030",1.91837660560271,1.75428822786912,13.3426806108852,0.00025943323357367,0.178221365992484
"ENSG00000106537",-2.24619933921298,5.8612145617717,12.9214593130206,0.000324836513973659,0.213907608389912
"ENSG00000248383",3.86498378608042,-1.33279013850227,12.8715090877076,0.000333622472144391,0.213907608389912
"ENSG00000186352",-2.68198288926552,3.01243513679598,12.6062835505131,0.000384452147009037,0.238546356378027
