"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000136826",3.86643864041848,4.71657296433698,82.3594631764033,1.13456970398649e-19,2.18234482561801e-15
"ENSG00000125740",9.23969025719384,6.01251159970161,65.6662365870171,5.34131168821464e-16,5.13700651614043e-12
"ENSG00000123975",4.58529977685711,4.03617660798932,57.694831582918,3.06106073763102e-14,1.96265010961109e-10
"ENSG00000112149",5.55604690845402,4.13046093775281,56.5348527481989,5.52110542107602e-14,2.65496156935993e-10
"ENSG00000175592",7.39186241191991,3.94878583356648,55.637075070773,8.71641331024446e-14,3.35320420045104e-10
"ENSG00000173846",4.42686579122712,3.95885100676303,54.8530978027431,1.29883881000666e-13,4.16386075174636e-10
"ENSG00000130522",3.60798986042308,7.94883123504252,54.0653648116573,1.93929696624532e-13,5.32891102081838e-10
"ENSG00000267270",5.50147006457691,4.1796225404487,53.0928570005912,3.18147272467814e-13,7.64945348239801e-10
"ENSG00000162772",6.8598508905921,8.00015393350853,50.3982320632921,1.25507238272775e-12,2.68236858686313e-09
"ENSG00000087074",4.93084051463898,7.12241926985969,47.2999020550655,6.09152609936833e-12,1.1717050452135e-08
"ENSG00000059728",4.13065855471499,5.41901435385842,46.9666784854082,7.22039147436128e-12,1.26258390917581e-08
"ENSG00000011422",4.84042076529312,3.88718726110304,46.6589137650487,8.44818232031576e-12,1.35417322442728e-08
"ENSG00000178381",5.30839680552701,6.94740393970431,45.5549808736651,1.48413795124969e-11,2.19595334556059e-08
"ENSG00000134531",4.67051288988625,5.56274593042068,44.0603886718243,3.18399500758556e-11,4.37458171220773e-08
"ENSG00000185022",6.04158357336731,6.76865599549028,43.3396486700652,4.60164130767289e-11,5.90083803687253e-08
"ENSG00000121797",4.42063725618809,2.08475099230237,42.9413961701199,5.64044177289868e-11,6.78086859385663e-08
"ENSG00000106211",4.04140290544544,9.51412426052306,42.4415620083977,7.28259204336368e-11,8.24003870318237e-08
"ENSG00000163660",2.46644162662933,6.00981088259567,41.755680999036,1.03421312459899e-10,1.05959549728259e-07
"ENSG00000162783",3.96699764878862,6.0453292951088,41.7323092036789,1.04665008829578e-10,1.05959549728259e-07
"ENSG00000163874",5.01929216357977,5.90579098483748,40.7829087174498,1.7011441430853e-10,1.63607537961229e-07
"ENSG00000118503",5.37718242428027,7.43452517854937,40.5877658029125,1.87979956414974e-10,1.7218068864962e-07
"ENSG00000184545",6.05764885742361,3.6925575032266,40.3754118915252,2.09561905370873e-10,1.81007405617712e-07
"ENSG00000149257",4.81571615000624,8.18553418721006,40.3123429699918,2.1643724092578e-10,1.81007405617712e-07
"ENSG00000148841",3.07151443153498,5.03265988083878,39.6604733352873,3.02179844316649e-10,2.42184554392947e-07
"ENSG00000184205",3.9960772777329,5.10165630910556,38.6538938318389,5.0602207322876e-10,3.72011131934377e-07
"ENSG00000136997",4.80249182161859,5.91827302355557,38.6066879348986,5.18409807228793e-10,3.72011131934377e-07
"ENSG00000176170",4.35273960750894,3.5868295967147,38.5925121510795,5.22188747711369e-10,3.72011131934377e-07
"ENSG00000275302",6.24613683618587,4.64540164924005,37.4863877235663,9.20531932523105e-10,6.32372561502926e-07
"ENSG00000070404",4.43107964223495,5.253454497315,37.3266345844129,9.99107412460448e-10,6.62683830299197e-07
"ENSG00000112773",3.31328342482007,6.32641257503594,37.2184216042639,1.05611390090667e-09,6.77145029464657e-07
"ENSG00000158859",6.67456407008612,6.8232557441832,37.0388863952363,1.1579670118119e-09,7.18499853941995e-07
"ENSG00000178726",3.59395117100056,4.97295093499367,36.6593731641461,1.40680957895167e-09,8.45624445347979e-07
"ENSG00000166920",4.64146336593237,1.15308331968488,35.981557806426,1.9919395010965e-09,1.16105928192701e-06
"ENSG00000151929",5.67423375093237,8.58538473485327,35.6398850971225,2.37377224799803e-09,1.34292674088947e-06
"ENSG00000170542",2.78631040795643,4.73134477322547,35.1448524749254,3.06069377538197e-09,1.68206985055635e-06
"ENSG00000163661",6.49661428302762,3.19781540628902,34.5936229009896,4.06234947319469e-09,2.11979610656474e-06
"ENSG00000177606",5.03130876610619,8.76520978020283,34.586333340792,4.07759063908997e-09,2.11979610656474e-06
"ENSG00000137801",3.72085215475706,6.46764354581391,34.3493409309141,4.60556300228622e-09,2.24382784187323e-06
